************Bad nodes by high occurrence of memory > threshold************

node name,instance type,memory limit,High Memory Utilization Probability
Node name: , ip-10-0-103-38

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,memory,request
max avg memory,cost-analyzer-prometheus-server-84566b5c77-t5cwh,14816862678.032787,0
max memory usage,cost-analyzer-prometheus-server-84566b5c77-t5cwh,15014002688,0
max cpu above request,cost-analyzer-prometheus-server-84566b5c77-t5cwh,14816862678.032787,0


Node name: , ip-10-0-108-164

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,memory,request
max avg memory,autocomplete-st-deployment-76fcdcc9f5-9tt5r,27456549468.32787,44023414784
max memory usage,autocomplete-st-deployment-76fcdcc9f5-9tt5r,27456585728,44023414784
max cpu above request,aws-node-8k8hh,422849888.52459013,0


Node name: , ip-10-0-112-50

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,memory,request
max avg memory,autocomplete-st-deployment-76fcdcc9f5-lxmcx,23648958564.72131,44023414784
max memory usage,autocomplete-st-deployment-76fcdcc9f5-lxmcx,23649144832,44023414784
max cpu above request,aws-node-pshr9,458457088.0,0


Node name: , ip-10-0-113-129

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,memory,request
max avg memory,autocomplete-gen-deployment-5f7b49b869-zplcc,27973931410.885246,44023414784
max memory usage,autocomplete-gen-deployment-5f7b49b869-zplcc,27974897664,44023414784
max cpu above request,aws-node-xrmcd,468603417.1803279,0


Node name: , ip-10-0-124-101

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,memory,request
max avg memory,webhooks-hbl-uat-lst-deployment-57759c8df4-sjdz7,48322757078.03278,57073741824
max memory usage,webhooks-hbl-uat-lst-deployment-57759c8df4-sjdz7,48322981888,57073741824
max cpu above request,aws-node-nqlfd,366661161.9672131,0


Node name: , ip-10-0-137-136

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,memory,request
max avg memory,webhooks-hbl-uat-lst-deployment-57759c8df4-hgqwz,48529286597.2459,57073741824
max memory usage,webhooks-hbl-uat-lst-deployment-57759c8df4-hgqwz,48529539072,57073741824
max cpu above request,aws-node-dpfx2,375959283.40983605,0


Node name: , ip-10-0-140-169

Window :,2023-07-11 10:59:20,2023-07-11 11:29:20,
__,pod_name,memory,request
max avg memory,autocomplete-gen-deployment-5f7b49b869-75hn5,23076229321.442623,44023414784
max memory usage,autocomplete-gen-deployment-5f7b49b869-75hn5,23077007360,44023414784
max cpu above request,aws-node-csj9g,373985212.852459,0
